education,skills,experience,career_gap,interest,preferred_role
MSc Physics,SQL Python Statistics,3,2,Data,IoT Engineer
BSc Maths,ML Python DL,3,0,AI,Data Analyst
MSc Computer Science,SQL Java,0,3,Backend,IoT Engineer
BTech ECE,Spring Java,1,1,Backend,IoT Engineer
BTech ECE,Python ML,2,2,Research,IoT Engineer
MSc Physics,ML Python,2,2,AI,AI Researcher
BTech IT,DL Python ML,4,2,AI,Software Engineer
BTech CSE,DL Python,2,0,AI,AI Researcher
MSc Computer Science,Statistics ML,2,2,Research,Data Scientist
MSc Computer Science,ML DL Python,3,3,AI,ML Engineer
MSc Computer Science,Python ML,3,1,Research,Data Scientist
BTech IT,ML DL,5,0,AI,IoT Engineer
MSc Computer Science,CSS HTML,4,3,Web,IoT Engineer
BSc Maths,Statistics Python SQL,0,1,Data,Software Engineer
MSc Physics,Statistics Python SQL,3,1,Data,Data Scientist
BTech CSE,ML Statistics,0,2,Research,AI Researcher
BTech ECE,Statistics Python SQL,3,3,Data,Data Scientist
BSc Maths,DL Python,2,3,AI,ML Engineer
BSc Maths,ML Statistics Python,2,2,Research,IoT Engineer
MSc Computer Science,Java SQL Spring,1,0,Backend,Software Engineer
BTech IT,ML DL Python,5,1,AI,ML Engineer
BTech CSE,Embedded Python Sensors,1,1,IoT,Data Analyst
BTech ECE,Python Statistics SQL,5,0,Data,Software Engineer
BTech ECE,Python ML Statistics,3,1,Research,Software Engineer
BSc Maths,DL Python,5,3,AI,AI Researcher
BTech IT,Embedded Sensors,4,3,IoT,ML Engineer
BTech ECE,CSS HTML JavaScript,5,3,Web,ML Engineer
BTech CSE,Python SQL Statistics,2,2,Data,Software Engineer
MSc Computer Science,Python Statistics SQL,4,0,Data,AI Researcher
MSc Physics,Statistics ML Python,3,2,Research,ML Engineer
BSc Maths,Sensors Embedded,3,3,IoT,Data Scientist
BTech ECE,JavaScript CSS HTML,4,3,Web,Data Analyst
BSc Maths,Python ML,0,0,Research,ML Engineer
MSc Computer Science,Statistics ML Python,0,2,Research,ML Engineer
BTech CSE,Java SQL,0,2,Backend,Data Scientist
BTech CSE,Spring Java SQL,4,3,Backend,Software Engineer
BSc Maths,Python SQL Statistics,4,3,Data,Data Analyst
BTech IT,SQL Java,2,3,Backend,Data Analyst
MSc Computer Science,HTML JavaScript CSS,3,0,Web,Data Scientist
MSc Computer Science,Python Statistics SQL,0,3,Data,Data Analyst
BTech ECE,Statistics Python SQL,5,2,Data,AI Researcher
BTech IT,ML Python,3,2,Research,ML Engineer
BTech IT,Python Statistics ML,1,3,Research,AI Researcher
MSc Computer Science,Statistics Python,0,1,Data,Data Analyst
BTech IT,Statistics ML,1,1,Research,IoT Engineer
BSc Maths,Spring SQL Java,0,0,Backend,IoT Engineer
MSc Computer Science,Python DL ML,0,2,AI,Data Analyst
MSc Computer Science,Statistics Python,0,1,Data,AI Researcher
MSc Physics,Sensors Embedded,2,0,IoT,Data Scientist
MSc Physics,Statistics Python ML,3,2,Research,AI Researcher
BSc Maths,Java SQL,5,0,Backend,Data Analyst
BSc Maths,ML Python Statistics,0,3,Research,Software Engineer
BTech IT,Embedded Python Sensors,0,3,IoT,IoT Engineer
BTech CSE,Java SQL Spring,4,0,Backend,IoT Engineer
BTech IT,SQL Java,4,2,Backend,Software Engineer
BTech ECE,SQL Java Spring,0,0,Backend,IoT Engineer
BTech CSE,JavaScript HTML CSS,5,1,Web,AI Researcher
BSc Maths,SQL Statistics,0,3,Data,Data Scientist
BTech ECE,Python DL,4,0,AI,Data Scientist
MSc Physics,SQL Python Statistics,4,3,Data,Data Analyst
MSc Computer Science,SQL Java,0,3,Backend,Data Analyst
BTech ECE,Statistics ML,5,0,Research,Software Engineer
MSc Computer Science,DL Python,3,3,AI,Software Engineer
MSc Physics,Python Statistics,3,1,Research,AI Researcher
BTech CSE,DL ML,2,0,AI,Data Scientist
BSc Maths,Spring Java,4,2,Backend,Data Scientist
MSc Computer Science,HTML CSS JavaScript,0,2,Web,Data Analyst
BTech ECE,Sensors Embedded Python,5,0,IoT,AI Researcher
MSc Computer Science,Python Sensors Embedded,0,1,IoT,Data Analyst
BTech IT,Statistics Python ML,4,3,Research,AI Researcher
MSc Computer Science,Embedded Sensors,0,3,IoT,ML Engineer
MSc Physics,Python ML,5,2,Research,Software Engineer
BSc Maths,Python SQL,2,2,Data,ML Engineer
BSc Maths,ML Python Statistics,2,1,Research,AI Researcher
BTech ECE,HTML JavaScript CSS,1,3,Web,ML Engineer
BSc Maths,ML Python Statistics,3,1,Research,Software Engineer
MSc Computer Science,ML DL Python,1,1,AI,ML Engineer
BTech IT,ML DL,3,3,AI,Data Analyst
BSc Maths,Statistics SQL Python,2,0,Data,ML Engineer
BTech IT,SQL Statistics,5,1,Data,Data Scientist
BTech IT,CSS HTML JavaScript,1,3,Web,IoT Engineer
BTech IT,ML DL,4,0,AI,IoT Engineer
MSc Computer Science,Statistics Python,1,2,Research,Data Scientist
BTech CSE,Python Sensors Embedded,2,0,IoT,Software Engineer
BTech ECE,JavaScript HTML,0,3,Web,Software Engineer
MSc Computer Science,ML Python Statistics,0,3,Research,Data Analyst
BTech CSE,SQL Python Statistics,3,2,Data,IoT Engineer
MSc Physics,Spring Java,4,2,Backend,AI Researcher
BTech IT,Python ML Statistics,4,2,Research,IoT Engineer
MSc Physics,Python SQL,5,0,Data,AI Researcher
MSc Computer Science,Statistics Python SQL,1,3,Data,Software Engineer
MSc Physics,HTML CSS,1,0,Web,AI Researcher
MSc Computer Science,DL Python ML,4,0,AI,Data Analyst
MSc Computer Science,DL Python,0,3,AI,IoT Engineer
BTech IT,Statistics ML Python,0,2,Research,Data Analyst
MSc Computer Science,SQL Statistics,4,0,Data,IoT Engineer
BTech IT,HTML CSS,2,3,Web,Data Analyst
